kant,datum,naam,bedrag
"Knab zonder Kosten","2026-07-17","Media Markt TV-HiFi-El","33.98"
"Knab zonder Kosten","2026-07-20","top-up via bunq","250.00"
"Knab zonder Kosten","2026-07-20","BCK*Toolstation AH","241.66"
"Knab zonder Kosten","2026-07-20","top-up via bunq","200.00"
"Knab zonder Kosten","2026-07-20","Vroegop Timmerwerken","200.00"
"Knab zonder Kosten","2026-07-20","GABRIELS MAASMECHELEN","122.24"
"Knab zonder Kosten","2026-07-20","Derks Lease B.V.","95.13"
"Knab zonder Kosten","2026-07-20","Selecta Netherlands B","3.65"
"Knab zonder Kosten","2026-07-21","Stichting Derdengelden Creman via S","727.73"
"Knab zonder Kosten","2026-07-21","Bouwmaat Haarlem","320.40"
"Knab zonder Kosten","2026-07-21","Bouwmaat Haarlem","50.82"
"Knab zonder Kosten","2026-07-21","BCK*Toolstation AH","2.71"
"Knab zonder Kosten","2026-07-22","Bouwmaat Haarlem","25.59"
"Knab zonder Kosten","2026-07-23","DSG Bouwmaten B.V.","2831.83"
"Knab zonder Kosten","2026-07-23","BCK*Shell E Santpoort","20.27"
"Knab zonder Kosten","2026-07-24","BCK*Toolstation CG","36.63"
"Knab zonder Kosten","2026-07-24","ESSO EXPRESS VELSERBRO","29.85"
"Knab zonder Kosten","2026-07-24","Parkeren A'dam 15504","2.69"
"Knab zonder Kosten","2026-07-27","DERDENGELDEN BOUWMAAT","1801.17"
"Knab zonder Kosten","2026-07-27","top-up via bunq","1000.00"
"Knab zonder Kosten","2026-07-27","BCK*Bouwmaat Sloterdij","406.76"
"Knab zonder Kosten","2026-07-27","xxldirect.nl","313.28"
"Knab zonder Kosten","2026-07-27","Bouwmaat Amsterdam B.V.","286.48"
"Knab zonder Kosten","2026-07-27","BCK*Bouwmaat Amstel","101.57"
"Knab zonder Kosten","2026-07-27","Derks Lease B.V.","52.13"
"Knab zonder Kosten","2026-07-27","Total Express Zaandam","49.00"
"Knab zonder Kosten","2026-07-27","BP Larserdreef","31.07"
"Knab zonder Kosten","2026-07-27","BP Larserdreef","30.64"
"Knab zonder Kosten","2026-07-27",".","9.60"
"Knab zonder Kosten","2026-07-28","BOUWMAAT R'DAM ZUID","194.58"
"Knab zonder Kosten","2026-07-28","BOUWMAAT R'DAM ZUID","110.43"
"Knab zonder Kosten","2026-07-28","OK Rotterdam HS","46.84"
"Knab zonder Kosten","2026-07-29","BCK*Bouwmaat Sloterdij","72.23"
"Knab zonder Kosten","2026-07-30","BCK*GSSP RIJSWIJK","171.36"
"Knab zonder Kosten","2026-07-30","BOUWMAAT R'DAM ZUID","15.20"
"Knab zonder Kosten","2026-07-31","BCK*Bouwmaat Amstel","137.84"
"Knab zonder Kosten","2026-07-31","BP KADOELEN","19.69"
"Knab zonder Kosten","2026-08-03","Derks Lease B.V.","1294.76"
"Knab zonder Kosten","2026-08-03","BCK*Toolstation AG","356.25"
"Knab zonder Kosten","2026-08-03","Esso Pijnacker Ruyven","169.26"
"Knab zonder Kosten","2026-08-03","HP2101Gamma K. ad Z","133.69"
"Knab zonder Kosten","2026-08-03","BOUWMAAT R'DAM-ZUID","35.49"
"Knab zonder Kosten","2026-08-03","HP2101Gamma K. ad Z","16.49"
"Knab zonder Kosten","2026-08-03","BCK*Toolstation AH","11.88"
"Knab zonder Kosten","2026-08-03","ESSO UITGEEST RIJKSWEG","3.50"
"Knab zonder Kosten","2026-08-04","BCK*Bouwmaat Amstel","257.53"
"Knab zonder Kosten","2026-08-04","GC RE WERKSPOT","231.11"
"Knab zonder Kosten","2026-08-06","top-up via bunq","100.00"
"Knab zonder Kosten","2026-08-07","top-up via bunq","250.00"
"Knab zonder Kosten","2026-08-10","Toelevering Online via MultiSafepay","804.70"
"Knab zonder Kosten","2026-08-10","top-up via bunq","200.00"
"Knab zonder Kosten","2026-08-10","BCK*Shell Stat Thorbec","121.16"
"Knab zonder Kosten","2026-08-10","plintenfabriek.nl","62.07"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","49.12"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","22.33"
"Knab zonder Kosten","2026-08-10","Total Nn001244 Zeewold","3.90"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","0.46"
"Knab zonder Kosten","2026-08-11","Moments&More Veentje","6.95"
"Knab zonder Kosten","2026-08-12","KPN - Mobiel","40.00"
"Knab zonder Kosten","2026-08-12","Total Nn001244 Zeewold","3.90"
"Knab zonder Kosten","2026-08-13","KPN - Mobiel","342.89"
"Knab zonder Kosten","2026-08-14","BCK*Bouwmaat Sloterdij","323.90"
"Knab zonder Kosten","2026-08-14","Total Nn001244 Zeewold","167.70"
"Knab zonder Kosten","2026-08-14","top-up via bunq","100.00"
"Knab zonder Kosten","2026-08-14","MS* BASTIONHOTELDORDR","93.00"
"Knab zonder Kosten","2026-08-14","DERDENGELDEN BOUWMAAT","38.50"
"Knab zonder Kosten","2026-08-14","TMC*P-DORDRECHT-11020","1.10"
"Knab zonder Kosten","2026-08-17","Bouwmaat Huizen","357.74"
"Knab zonder Kosten","2026-08-17","top-up via bunq","300.00"
"Knab zonder Kosten","2026-08-17","DERDENGELDEN BOUWMAAT","206.84"
"Knab zonder Kosten","2026-08-17","Derks Lease B.V.","65.13"
"Knab zonder Kosten","2026-08-17","KPN","41.00"
"Knab zonder Kosten","2026-08-18","DERDENGELDEN BOUWMAAT","894.55"
"Knab zonder Kosten","2026-08-18","HE1801 Gamma Zeist","22.28"
"Knab zonder Kosten","2026-08-19","top-up via bunq","250.00"
"Knab zonder Kosten","2026-08-19","Total Nn001244 Zeewold","165.72"
"Knab zonder Kosten","2026-08-19","CCV*Van Brenen Transpo","101.25"
"Knab zonder Kosten","2026-08-20","DERDENGELDEN BOUWMAAT","508.70"
"Knab zonder Kosten","2026-08-20","DERDENGELDEN BOUWMAAT","199.04"
"Knab zonder Kosten","2026-08-21","DERDENGELDEN BOUWMAAT","2161.95"
"Knab zonder Kosten","2026-08-24","Stichting Derdengelden Creman","727.73"
"Knab zonder Kosten","2026-08-24","BCK*Toolstation DJ","510.43"
"Knab zonder Kosten","2026-08-24","top-up via bunq","250.00"
"Knab zonder Kosten","2026-08-24","Total Nn001244 Zeewold","162.49"
"Knab zonder Kosten","2026-08-24","BCK*Praxis Huizen 052","21.86"
"Kosten zonder Knab","2026-05-01","Werkspot","552.97"
"Kosten zonder Knab","2026-05-21","Derkslease","470.61"
"Kosten zonder Knab","2026-05-24","Derks","97.13"
"Kosten zonder Knab","2026-05-26","DSG Bouwmaten B.V. (Bouwmaat)","465.09"
"Kosten zonder Knab","2026-05-26","DSG Bouwmaten B.V. (Bouwmaat)","247.93"
"Kosten zonder Knab","2026-05-26","DSG Bouwmaten B.V. (Bouwmaat)","7.79"
"Kosten zonder Knab","2026-05-26","DSG Bouwmaten B.V. (Bouwmaat)","-196.70"
"Kosten zonder Knab","2026-05-27","CJIB (Centraal Justitieel Incassobureau)","139.13"
"Kosten zonder Knab","2026-05-27","DSG Bouwmaten B.V. (Bouwmaat Nieuwegein)","132.54"
"Kosten zonder Knab","2026-05-27","CJIB (Centraal Justitieel Incasso Bureau)","61.13"
"Kosten zonder Knab","2026-05-27","DSG Bouwmaten B.V. (Bouwmaat Nieuwegein)","60.67"
"Kosten zonder Knab","2026-05-27","DSG Bouwmaten B.V. (Bouwmaat Nieuwegein)","0.41"
"Kosten zonder Knab","2026-06-08","Bouwmaat Amsterdam B.V.","426.61"
"Kosten zonder Knab","2026-06-08","Bouwmaat Amsterdam B.V.","340.78"
"Kosten zonder Knab","2026-06-13","Onbekend (Heringaweg 6, 2031 BW Haarlem)","108.19"
"Kosten zonder Knab","2026-06-14","GAMMA","489.30"
"Kosten zonder Knab","2026-06-20","Stam Tankstations BV","137.52"
"Kosten zonder Knab","2026-06-20","Deurbeslagshop (ODS)","30.20"
"Kosten zonder Knab","2026-06-23","Tobiasfiscaal Delft","95.13"
"Kosten zonder Knab","2026-06-24","Derks","154.13"
"Kosten zonder Knab","2026-06-24","Breeam","38.50"
"Kosten zonder Knab","2026-06-25","Circle K Servicestation Beverwijk","134.66"
"Kosten zonder Knab","2026-06-25","Gemeente Rotterdam","95.13"
"Kosten zonder Knab","2026-06-25","Booking.com","21.87"
"Kosten zonder Knab","2026-06-25","Total Vissers De IJssel","19.81"
"Kosten zonder Knab","2026-06-25","VIA Amsterdam","3.39"
"Kosten zonder Knab","2026-06-26","Booking.com","21.87"
"Kosten zonder Knab","2026-06-26","VIA Amsterdam","4.10"
"Kosten zonder Knab","2026-06-27","Online Deurbeslagshop BV","21.34"
"Kosten zonder Knab","2026-06-29","Bouwcenter RAB","225.00"
"Kosten zonder Knab","2026-06-30","Derkslease","1326.22"
"Kosten zonder Knab","2026-07-01","Derkslease","1294.76"
"Kosten zonder Knab","2026-07-01","Werkspot","1028.50"
"Kosten zonder Knab","2026-07-01","Bouwmaat Haarlem XL","314.21"
"Kosten zonder Knab","2026-07-01","Bouwmaat Haarlem XL","295.51"
"Kosten zonder Knab","2026-07-01","Bouwmaat Haarlem (DSG Bouwmaten B.V.)","122.38"
"Kosten zonder Knab","2026-07-01","Bouwmaat Haarlem XL","32.19"
"Kosten zonder Knab","2026-07-01","Bouwmaat Haarlem XL","0.22"
"Kosten zonder Knab","2026-07-02","Toolstation NL B.V.","50.47"
"Kosten zonder Knab","2026-07-02","KPN","41.00"
"Kosten zonder Knab","2026-07-02","KPN B.V.","41.00"
"Kosten zonder Knab","2026-07-02","Toolstation NL B.V.","25.18"
"Kosten zonder Knab","2026-07-03","Bouwmaat Alkmaar","173.74"
"Kosten zonder Knab","2026-07-03","Bouwmaat Alkmaar","25.37"
"Kosten zonder Knab","2026-07-03","Bouwmaat Alkmaar","16.61"
"Kosten zonder Knab","2026-07-04","Bouwmaat Haarlem XL","86.43"
"Kosten zonder Knab","2026-07-04","Bouwmaat Haarlem XL","22.76"
"Kosten zonder Knab","2026-07-05","GAMMA","35.57"
"Kosten zonder Knab","2026-07-06","HomingXL BV","1463.53"
"Kosten zonder Knab","2026-07-06","GAMMA","251.68"
"Kosten zonder Knab","2026-07-06","Total (Beverwijk)","144.28"
"Kosten zonder Knab","2026-07-06","Toolstation NL B.V.","12.50"
"Kosten zonder Knab","2026-07-07","GAMMA","21.99"
"Kosten zonder Knab","2026-07-08","Kentekenmaken.nl","16.94"
"Kosten zonder Knab","2026-07-09","Bouwmaat Amersfoort","513.49"
"Kosten zonder Knab","2026-07-09","Houthandel Bos (Bos Houtbedrijf BV)","307.20"
"Kosten zonder Knab","2026-07-09","Glasdiscount B.V.","64.44"
"Kosten zonder Knab","2026-07-09","GAMMA","7.23"
"Kosten zonder Knab","2026-07-09","Bouwmaat Amersfoort","0.22"
"Kosten zonder Knab","2026-07-10","Bouwmaat Amersfoort","452.54"
"Kosten zonder Knab","2026-07-10","Bouwmaat Amersfoort","349.25"
"Kosten zonder Knab","2026-07-10","Bouwmaat Amersfoort","10.77"
"Kosten zonder Knab","2026-07-10","Bouwmaat Amersfoort","6.87"
"Kosten zonder Knab","2026-07-11","Bouwmaat Amersfoort","710.27"
"Kosten zonder Knab","2026-07-11","Bouwmaat Amersfoort","307.49"
"Kosten zonder Knab","2026-07-13","Bouwmaat","1162.27"
"Kosten zonder Knab","2026-07-13","Bouwmaat","638.89"
"Kosten zonder Knab","2026-07-13","Bouwmaat Alkmaar","114.38"
"Kosten zonder Knab","2026-07-13","Bouwmaat","72.11"
"Kosten zonder Knab","2026-07-13","GAMMA","50.95"
"Kosten zonder Knab","2026-07-13","Bouwmaat Alkmaar","11.01"
"Kosten zonder Knab","2026-07-14","Bouwmaat","2312.19"
"Kosten zonder Knab","2026-07-14","M.J. van Brenen","141.75"
"Kosten zonder Knab","2026-07-14","M.J. van Brenen & Zn B.V.","63.00"
"Kosten zonder Knab","2026-07-15","Derks Bedrijfswagens","96.13"
"Kosten zonder Knab","2026-07-15","bouwmaat","20.26"
"Kosten zonder Knab","2026-07-15","toolstation","17.64"
"Kosten zonder Knab","2026-07-17","MediaMarkt","33.98"
"Kosten zonder Knab","2026-07-18","Total Nn001487 Beverwi Betaalautomaat Beverwijk 04-07-2026 18:29 Pas: 3789 - € 144,28","144.28"
"Kosten zonder Knab","2026-07-18","CCV*Van Brenen Transpo Betaalautomaat DOORN 14-07-2026 09:37 Pas: 3789 - € 141,75","141.75"
"Kosten zonder Knab","2026-07-18","ESSO ISSELT Betaalautomaat AMERSFOORT 12-07-2026 09:02 Pas: 3789 - € 126,33","126.33"
"Kosten zonder Knab","2026-07-18","HD8201GammaA'foort Betaalautomaat AMERSFOORT 12-07-2026 16:08 Pas: 3789 - € 87,47","87.47"
"Kosten zonder Knab","2026-07-18","CCV*Van Brenen Transpo Betaalautomaat DOORN 14-07-2026 10:24 Pas: 3789 - € 63,00","63.00"
"Kosten zonder Knab","2026-07-18","BCK*Toolstation NL B.V Betaalautomaat LEIDERDORP 14-07-2026 14:19 Pas: 3789 - € 43,29","43.29"
"Kosten zonder Knab","2026-07-18","praxis","41.99"
"Kosten zonder Knab","2026-07-18","karwei","37.06"
"Kosten zonder Knab","2026-07-18","benzine","29.37"
"Kosten zonder Knab","2026-07-18","PIVADA verhuur iDEAL betaling PIVADA Verhuur NL56 DEUT 0265 1864 20","26.50"
"Kosten zonder Knab","2026-07-18","benzine","20.03"
"Kosten zonder Knab","2026-07-18","BCK*SHELL HAARRIJN Betaalautomaat BREUKELEN UT 04-07-2026","15.31"
"Kosten zonder Knab","2026-07-18","Booking iDEAL Hotel at Booking.com NL04 ADYB 2017 4001 57 - € 15,31","15.31"
"Kosten zonder Knab","2026-07-18","FOUT;  Taffne Bv Betaalautomaat BEVERWIJK 04-07-2026 18:43 Pas: 3789","15.00"
"Kosten zonder Knab","2026-07-18","BCK*SHELL DE LUCHT WES Betaalautomaat BRUCHEM 14-07-2026 20:07 Pas: 3789 - € 9,92","9.92"
"Kosten zonder Knab","2026-07-18","MS* VIAAMSTERDAM Betaalautomaat AMSTERDAM 12-07-2026 10:06 Pas: 3789 - € 3,39","3.39"
"Kosten zonder Knab","2026-07-20","Gabriëls Maasmechelen II","122.24"
"Kosten zonder Knab","2026-07-20","Koffie","3.65"
"Kosten zonder Knab","2026-07-21","Bouwmaat Haarlem XL","300.88"
"Kosten zonder Knab","2026-07-21","Bouwmaat Haarlem XL","19.52"
"Kosten zonder Knab","2026-07-23","Bouwmaat Alkmaar","2831.83"
"Kosten zonder Knab","2026-07-24","Toolstation NL B.V","38.96"
"Kosten zonder Knab","2026-07-24","Toolstation NL B.V","-2.34"
"Kosten zonder Knab","2026-07-25","XXL Direct BV","278.31"
"Kosten zonder Knab","2026-07-25","XXL Direct BV","34.94"
"Kosten zonder Knab","2026-07-25","BP Netherlands (BP Larserdreef)","31.07"
"Kosten zonder Knab","2026-07-26","BP Netherlands (BP Larserdreef)","30.64"
"Kosten zonder Knab","2026-07-27","Bouwmaat Amsterdam Sloterdijk XL","286.48"
"Kosten zonder Knab","2026-07-27","Bouwmaat Amsterdam Amstel XL","101.57"
"Kosten zonder Knab","2026-07-27","TotalExp Zaandam","49.00"
"Kosten zonder Knab","2026-07-28","Bouwmaat Rotterdam Zuid XL","185.37"
"Kosten zonder Knab","2026-07-28","Bouwmaat Rotterdam Zuid XL","110.43"
"Kosten zonder Knab","2026-07-28","Bouwmaat Rotterdam Zuid XL","9.21"
"Kosten zonder Knab","2026-07-29","Bouwmaat Amsterdam Sloterdijk XL","72.23"
"Kosten zonder Knab","2026-07-30","Shell Stat. Vrijenbanselaan","171.36"
"Kosten zonder Knab","2026-07-30","Bouwmaat Rotterdam Zuid XL","15.20"
"Kosten zonder Knab","2026-07-31","Bouwmaat Alkmaar","2833.19"
"Kosten zonder Knab","2026-07-31","Bouwmaat Alkmaar","121.00"
"Kosten zonder Knab","2026-07-31","Bouwmaat Amsterdam Amstel XL","118.81"
"Kosten zonder Knab","2026-07-31","OK Kadoelen","19.69"
"Kosten zonder Knab","2026-07-31","Bouwmaat Amsterdam Amstel XL","19.03"
"Kosten zonder Knab","2026-08-01","DerksLease","1294.76"
"Kosten zonder Knab","2026-08-01","Toolstation NL B.V.","356.25"
"Kosten zonder Knab","2026-08-01","Werkspot","231.11"
"Kosten zonder Knab","2026-08-01","Toolstation NL B.V.","11.88"
"Kosten zonder Knab","2026-08-02","GAMMA","133.69"
"Kosten zonder Knab","2026-08-02","GAMMA","16.49"
"Kosten zonder Knab","2026-08-03","Esso Pijnacker Ruyven (EG Group)","169.26"
"Kosten zonder Knab","2026-08-03","KPN","40.00"
"Kosten zonder Knab","2026-08-03","Bouwmaat Rotterdam Zuid XL","35.49"
"Kosten zonder Knab","2026-08-03","Esso Uitgeest Rijksweg","3.50"
"Kosten zonder Knab","2026-08-04","Bouwmaat Amsterdam Amstel XL","257.53"
"Kosten zonder Knab","2026-08-04","Bouwmaat Amsterdam B.V.","98.49"
"Kosten zonder Knab","2026-08-05","Bouwmaat Almere","81.48"
"Kosten zonder Knab","2026-08-05","Bouwmaat Amsterdam B.V.","42.35"
"Kosten zonder Knab","2026-08-05","Bouwmaat Almere","32.92"
"Kosten zonder Knab","2026-08-05","Bouwmaat Amsterdam B.V.","-72.60"
"Kosten zonder Knab","2026-08-06","KPN","342.89"
"Kosten zonder Knab","2026-08-06","DerksLease","65.13"
"Kosten zonder Knab","2026-08-06","Bouwmaat Amsterdam B.V. (Sloterdijk)","50.09"
"Kosten zonder Knab","2026-08-07","Bouwmaat Dordrecht","879.28"
"Kosten zonder Knab","2026-08-07","Bouwmaat Dordrecht","15.27"
"Kosten zonder Knab","2026-08-08","GAMMA","22.33"
"Kosten zonder Knab","2026-08-08","GAMMA","0.46"
"Kosten zonder Knab","2026-08-09","GAMMA","45.98"
"Kosten zonder Knab","2026-08-09","GAMMA","3.14"
"Kosten zonder Knab","2026-08-10","Toelevering Online","804.70"
"Kosten zonder Knab","2026-08-10","Bouwmaat Nieuwegein","199.04"
"Kosten zonder Knab","2026-08-10","Shell Stat Thorbeckeplein","121.16"
"Kosten zonder Knab","2026-08-10","Total Nn001244 Zeewolde","3.90"
"Kosten zonder Knab","2026-08-11","Bouwmaat Alkmaar","2161.95"
"Kosten zonder Knab","2026-08-11","Bouwmaat Hilversum","501.11"
"Kosten zonder Knab","2026-08-11","Bouwmaat Hilversum","7.59"
"Kosten zonder Knab","2026-08-11","Moments & More","6.95"
"Kosten zonder Knab","2026-08-12","Total Nn001244 Zeewolde","3.90"
"Kosten zonder Knab","2026-08-13","Plintenfabriek.nl","62.07"
"Kosten zonder Knab","2026-08-14","Bouwmaat Amsterdam Sloterdijk XL","252.29"
"Kosten zonder Knab","2026-08-14","Total Nn001244 Zeewolde","167.70"
"Kosten zonder Knab","2026-08-14","Bouwmaat Amsterdam Sloterdijk XL","71.61"
"Kosten zonder Knab","2026-08-14","Derdengelden Bouwmaat","38.50"
"Kosten zonder Knab","2026-08-14","TMC Dordrecht","1.10"
"Kosten zonder Knab","2026-08-15","BME Bouwmaten Nederland B.V. (Bouwmaat Dordrecht)","107.85"
"Kosten zonder Knab","2026-08-15","Bastion Hotel Dordrecht","93.00"
"Kosten zonder Knab","2026-08-17","Bouwmaat Huizen","236.65"
"Kosten zonder Knab","2026-08-17","Bouwmaat Huizen","121.09"
"Kosten zonder Knab","2026-08-18","GAMMA","22.28"
"Kosten zonder Knab","2026-08-18","GAMMA","13.99"
"Kosten zonder Knab","2026-08-18","GAMMA","8.29"
"Kosten zonder Knab","2026-08-19","Total Nn001244 Zeewolde","165.72"
"Kosten zonder Knab","2026-08-19","blub","101.25"
"Kosten zonder Knab","2026-08-19","Van Brenen Transport","101.25"
"Kosten zonder Knab","2026-08-20","Derks Lease B.V.","160.13"
"Kosten zonder Knab","2026-08-22","Toolstation NL B.V.","510.43"
"Kosten zonder Knab","2026-08-24","Total Nn001244 Zeewolde","162.49"
"Kosten zonder Knab","2026-08-24","Praxis Huizen","21.86"
